Date,District,Rain
2010-02-10,Vaniyambadi,-
2010-02-10,Vellore,-
2010-02-10,Wallajah,-
2010-02-11,Alangayam,-
2010-02-11,Ambur,-
2010-02-11,Arakkonam,-
2010-02-11,Arcot,-
2010-02-11,Gudiyatham,-
2010-02-11,Melalathur,-
2010-02-11,Sholingur,-
2010-02-11,Tirupattur,-
2010-02-11,Vaniyambadi,-
2010-02-11,Vellore,-
2010-02-11,Wallajah,-
2010-02-12,Alangayam,-
2010-02-12,Ambur,-
2010-02-12,Arakkonam,-
2010-02-12,Arcot,-
2010-02-12,Gudiyatham,-
2010-02-12,Melalathur,-
2010-02-12,Sholingur,-
2010-02-12,Tirupattur,-
2010-02-12,Vaniyambadi,-
2010-02-12,Vellore,-
2010-02-12,Wallajah,-
2010-02-13,Alangayam,-
2010-02-13,Ambur,-
2010-02-13,Arakkonam,-
2010-02-13,Arcot,-
2010-02-13,Gudiyatham,-
2010-02-13,Melalathur,-
2010-02-13,Sholingur,-
2010-02-13,Tirupattur,-
2010-02-13,Vaniyambadi,-
2010-02-13,Vellore,-
2010-02-13,Wallajah,-
2010-02-14,Alangayam,-
2010-02-14,Ambur,-
2010-02-14,Arakkonam,-
2010-02-14,Arcot,-
2010-02-14,Gudiyatham,-
2010-02-14,Melalathur,-
2010-02-14,Sholingur,-
2010-02-14,Tirupattur,-
2010-02-14,Vaniyambadi,-
2010-02-14,Vellore,-
2010-02-14,Wallajah,-
2010-02-15,Alangayam,-
2010-02-15,Ambur,-
2010-02-15,Arakkonam,-
2010-02-15,Arcot,-
2010-02-15,Gudiyatham,-
2010-02-15,Melalathur,-
2010-02-15,Sholingur,-
2010-02-15,Tirupattur,-
2010-02-15,Vaniyambadi,-
2010-02-15,Vellore,-
2010-02-15,Wallajah,-
2010-02-16,Alangayam,-
2010-02-16,Ambur,-
2010-02-16,Arakkonam,-
2010-02-16,Arcot,-
2010-02-16,Gudiyatham,-
2010-02-16,Melalathur,-
2010-02-16,Sholingur,-
2010-02-16,Tirupattur,-
2010-02-16,Vaniyambadi,-
2010-02-16,Vellore,-
2010-02-16,Wallajah,-
2010-02-17,Alangayam,-
2010-02-17,Ambur,-
2010-02-17,Arakkonam,-
2010-02-17,Arcot,-
2010-02-17,Gudiyatham,-
2010-02-17,Melalathur,-
2010-02-17,Sholingur,-
2010-02-17,Tirupattur,-
2010-02-17,Vaniyambadi,-
2010-02-17,Vellore,-
2010-02-17,Wallajah,-
2010-02-18,Alangayam,-
2010-02-18,Ambur,-
2010-02-18,Arakkonam,-
2010-02-18,Arcot,-
2010-02-18,Gudiyatham,-
2010-02-18,Melalathur,-
2010-02-18,Sholingur,-
2010-02-18,Tirupattur,-
2010-02-18,Vaniyambadi,-
2010-02-18,Vellore,-
2010-02-18,Wallajah,-
2010-02-19,Alangayam,-
2010-02-19,Ambur,-
2010-02-19,Arakkonam,-
2010-02-19,Arcot,-
2010-02-19,Gudiyatham,-
2010-02-19,Melalathur,-
2010-02-19,Sholingur,-
2010-02-19,Tirupattur,-
2010-02-19,Vaniyambadi,-
2010-02-19,Vellore,-
2010-02-19,Wallajah,-
2010-02-20,Alangayam,-
2010-02-20,Ambur,-
2010-02-20,Arakkonam,-
2010-02-20,Arcot,-
2010-02-20,Gudiyatham,-
2010-02-20,Melalathur,-
2010-02-20,Sholingur,-
2010-02-20,Tirupattur,-
2010-02-20,Vaniyambadi,-
2010-02-20,Vellore,-
2010-02-20,Wallajah,-
2010-02-21,Alangayam,-
2010-02-21,Ambur,-
2010-02-21,Arakkonam,-
2010-02-21,Arcot,-
2010-02-21,Gudiyatham,-
2010-02-21,Melalathur,-
2010-02-21,Sholingur,-
2010-02-21,Tirupattur,-
2010-02-21,Vaniyambadi,-
2010-02-21,Vellore,-
2010-02-21,Wallajah,-
2010-02-22,Alangayam,-
2010-02-22,Ambur,-
2010-02-22,Arakkonam,-
2010-02-22,Arcot,-
2010-02-22,Gudiyatham,-
2010-02-22,Melalathur,-
2010-02-22,Sholingur,-
2010-02-22,Tirupattur,-
2010-02-22,Vaniyambadi,-
2010-02-22,Vellore,-
2010-02-22,Wallajah,-
2010-02-23,Alangayam,-
2010-02-23,Ambur,-
2010-02-23,Arakkonam,-
2010-02-23,Arcot,-
2010-02-23,Gudiyatham,-
2010-02-23,Melalathur,-
2010-02-23,Sholingur,-
2010-02-23,Tirupattur,-
2010-02-23,Vaniyambadi,-
2010-02-23,Vellore,-
2010-02-23,Wallajah,-
2010-02-24,Alangayam,-
2010-02-24,Ambur,-
2010-02-24,Arakkonam,-
2010-02-24,Arcot,-
2010-02-24,Gudiyatham,-
2010-02-24,Melalathur,-
2010-02-24,Sholingur,-
2010-02-24,Tirupattur,-
2010-02-24,Vaniyambadi,-
2010-02-24,Vellore,-
2010-02-24,Wallajah,-
2010-02-25,Alangayam,-
2010-02-25,Ambur,-
2010-02-25,Arakkonam,-
2010-02-25,Arcot,-
2010-02-25,Gudiyatham,-
2010-02-25,Melalathur,-
2010-02-25,Sholingur,-
2010-02-25,Tirupattur,-
2010-02-25,Vaniyambadi,-
2010-02-25,Vellore,-
2010-02-25,Wallajah,-
2010-02-26,Alangayam,-
2010-02-26,Ambur,-
2010-02-26,Arakkonam,-
2010-02-26,Arcot,-
2010-02-26,Gudiyatham,-
2010-02-26,Melalathur,-
2010-02-26,Sholingur,-
2010-02-26,Tirupattur,-
2010-02-26,Vaniyambadi,-
2010-02-26,Vellore,-
2010-02-26,Wallajah,-
2010-02-27,Alangayam,-
2010-02-27,Ambur,-
2010-02-27,Arakkonam,-
2010-02-27,Arcot,-
2010-02-27,Gudiyatham,-
2010-02-27,Melalathur,-
2010-02-27,Sholingur,-
2010-02-27,Tirupattur,-
2010-02-27,Vaniyambadi,-
2010-02-27,Vellore,-
2010-02-27,Wallajah,-
2010-02-28,Alangayam,-
2010-02-28,Ambur,-
2010-02-28,Arakkonam,-
2010-02-28,Arcot,-
2010-02-28,Gudiyatham,-
2010-02-28,Melalathur,-
2010-02-28,Sholingur,-
2010-02-28,Tirupattur,-
2010-02-28,Vaniyambadi,-
2010-02-28,Vellore,-
2010-02-28,Wallajah,-
2010-03-01,Alangayam,-
2010-03-01,Ambur,-
2010-03-01,Arakkonam,-
2010-03-01,Arcot,-
2010-03-01,Gudiyatham,-
2010-03-01,Melalathur,-
2010-03-01,Sholingur,-
2010-03-01,Tirupattur,-
2010-03-01,Vaniyambadi,-
2010-03-01,Vellore,-
2010-03-01,Wallajah,-
2010-03-02,Alangayam,-
2010-03-02,Ambur,-
2010-03-02,Arakkonam,-
2010-03-02,Arcot,-
2010-03-02,Gudiyatham,-
2010-03-02,Melalathur,-
2010-03-02,Sholingur,-
2010-03-02,Tirupattur,-
2010-03-02,Vaniyambadi,-
2010-03-02,Vellore,-
2010-03-02,Wallajah,-
2010-03-03,Alangayam,-
2010-03-03,Ambur,-
2010-03-03,Arakkonam,-
2010-03-03,Arcot,-
2010-03-03,Gudiyatham,-
2010-03-03,Melalathur,-
2010-03-03,Sholingur,-
2010-03-03,Tirupattur,-
2010-03-03,Vaniyambadi,-
2010-03-03,Vellore,-
2010-03-03,Wallajah,-
2010-03-04,Alangayam,-
2010-03-04,Ambur,-
2010-03-04,Arakkonam,-
2010-03-04,Arcot,-
2010-03-04,Gudiyatham,-
2010-03-04,Melalathur,-
2010-03-04,Sholingur,-
2010-03-04,Tirupattur,-
2010-03-04,Vaniyambadi,-
2010-03-04,Vellore,-
2010-03-04,Wallajah,-
2010-03-05,Alangayam,-
2010-03-05,Ambur,-
2010-03-05,Arakkonam,-
2010-03-05,Arcot,-
2010-03-05,Gudiyatham,-
2010-03-05,Melalathur,-
2010-03-05,Sholingur,-
2010-03-05,Tirupattur,-
2010-03-05,Vaniyambadi,-
2010-03-05,Vellore,-
2010-03-05,Wallajah,-
2010-03-06,Alangayam,-
2010-03-06,Ambur,-
2010-03-06,Arakkonam,-
2010-03-06,Arcot,-
2010-03-06,Gudiyatham,-
2010-03-06,Melalathur,-
2010-03-06,Sholingur,-
2010-03-06,Tirupattur,-
2010-03-06,Vaniyambadi,-
2010-03-06,Vellore,-
2010-03-06,Wallajah,-
2010-03-07,Alangayam,-
2010-03-07,Ambur,-
2010-03-07,Arakkonam,-
2010-03-07,Arcot,-
2010-03-07,Gudiyatham,-
2010-03-07,Melalathur,-
2010-03-07,Sholingur,-
2010-03-07,Tirupattur,-
2010-03-07,Vaniyambadi,-
2010-03-07,Vellore,-
2010-03-07,Wallajah,-
2010-03-08,Alangayam,-
2010-03-08,Ambur,-
2010-03-08,Arakkonam,-
2010-03-08,Arcot,-
2010-03-08,Gudiyatham,-
2010-03-08,Melalathur,-
2010-03-08,Sholingur,-
2010-03-08,Tirupattur,-
2010-03-08,Vaniyambadi,-
2010-03-08,Vellore,-
2010-03-08,Wallajah,-
2010-03-09,Alangayam,-
2010-03-09,Ambur,-
2010-03-09,Arakkonam,-
2010-03-09,Arcot,-
2010-03-09,Gudiyatham,-
2010-03-09,Melalathur,-
2010-03-09,Sholingur,-
2010-03-09,Tirupattur,-
2010-03-09,Vaniyambadi,-
2010-03-09,Vellore,-
2010-03-09,Wallajah,-
2010-03-10,Alangayam,-
2010-03-10,Ambur,-
2010-03-10,Arakkonam,-
2010-03-10,Arcot,-
2010-03-10,Gudiyatham,-
2010-03-10,Melalathur,-
2010-03-10,Sholingur,-
2010-03-10,Tirupattur,-
2010-03-10,Vaniyambadi,-
2010-03-10,Vellore,-
2010-03-10,Wallajah,-
2010-03-11,Alangayam,-
2010-03-11,Ambur,-
2010-03-11,Arakkonam,-
2010-03-11,Arcot,-
2010-03-11,Gudiyatham,-
2010-03-11,Melalathur,-
2010-03-11,Sholingur,-
2010-03-11,Tirupattur,-
2010-03-11,Vaniyambadi,-
2010-03-11,Vellore,-
2010-03-11,Wallajah,-
2010-03-12,Alangayam,-
2010-03-12,Ambur,-
2010-03-12,Arakkonam,-
2010-03-12,Arcot,-
2010-03-12,Gudiyatham,-
2010-03-12,Melalathur,-
2010-03-12,Sholingur,-
2010-03-12,Tirupattur,-
2010-03-12,Vaniyambadi,-
2010-03-12,Vellore,-
2010-03-12,Wallajah,-
2010-03-13,Alangayam,-
2010-03-13,Ambur,-
2010-03-13,Arakkonam,-
2010-03-13,Arcot,-
2010-03-13,Gudiyatham,-
2010-03-13,Melalathur,-
2010-03-13,Sholingur,-
2010-03-13,Tirupattur,-
2010-03-13,Vaniyambadi,-
2010-03-13,Vellore,-
2010-03-13,Wallajah,-
2010-03-14,Alangayam,-
2010-03-14,Ambur,-
2010-03-14,Arakkonam,-
2010-03-14,Arcot,-
2010-03-14,Gudiyatham,-
2010-03-14,Melalathur,-
2010-03-14,Sholingur,-
2010-03-14,Tirupattur,-
2010-03-14,Vaniyambadi,-
2010-03-14,Vellore,-
2010-03-14,Wallajah,-
2010-03-15,Alangayam,-
2010-03-15,Ambur,-
2010-03-15,Arakkonam,-
2010-03-15,Arcot,-
2010-03-15,Gudiyatham,-
2010-03-15,Melalathur,-
2010-03-15,Sholingur,-
2010-03-15,Tirupattur,-
2010-03-15,Vaniyambadi,-
2010-03-15,Vellore,-
2010-03-15,Wallajah,-
2010-03-16,Alangayam,-
2010-03-16,Ambur,-
2010-03-16,Arakkonam,-
2010-03-16,Arcot,-
2010-03-16,Gudiyatham,-
2010-03-16,Melalathur,-
2010-03-16,Sholingur,-
2010-03-16,Tirupattur,-
2010-03-16,Vaniyambadi,-
2010-03-16,Vellore,-
2010-03-16,Wallajah,-
2010-03-17,Alangayam,-
2010-03-17,Ambur,-
2010-03-17,Arakkonam,-
2010-03-17,Arcot,-
2010-03-17,Gudiyatham,-
2010-03-17,Melalathur,-
2010-03-17,Sholingur,-
2010-03-17,Tirupattur,-
2010-03-17,Vaniyambadi,-
2010-03-17,Vellore,-
2010-03-17,Wallajah,-
2010-03-18,Alangayam,-
2010-03-18,Ambur,-
2010-03-18,Arakkonam,-
2010-03-18,Arcot,-
2010-03-18,Gudiyatham,-
2010-03-18,Melalathur,-
2010-03-18,Sholingur,-
2010-03-18,Tirupattur,-
2010-03-18,Vaniyambadi,-
2010-03-18,Vellore,-
2010-03-18,Wallajah,-
2010-03-19,Alangayam,-
2010-03-19,Ambur,-
2010-03-19,Arakkonam,-
2010-03-19,Arcot,-
2010-03-19,Gudiyatham,-
2010-03-19,Melalathur,-
2010-03-19,Sholingur,-
2010-03-19,Tirupattur,-
2010-03-19,Vaniyambadi,-
2010-03-19,Vellore,-
2010-03-19,Wallajah,-
2010-03-20,Alangayam,-
2010-03-20,Ambur,-
2010-03-20,Arakkonam,-
2010-03-20,Arcot,-
2010-03-20,Gudiyatham,-
2010-03-20,Melalathur,-
2010-03-20,Sholingur,-
2010-03-20,Tirupattur,-
2010-03-20,Vaniyambadi,-
2010-03-20,Vellore,-
2010-03-20,Wallajah,-
2010-03-21,Alangayam,-
2010-03-21,Ambur,-
2010-03-21,Arakkonam,-
2010-03-21,Arcot,-
2010-03-21,Gudiyatham,-
2010-03-21,Melalathur,-
2010-03-21,Sholingur,-
2010-03-21,Tirupattur,-
2010-03-21,Vaniyambadi,-
2010-03-21,Vellore,-
2010-03-21,Wallajah,-
2010-03-22,Alangayam,-
2010-03-22,Ambur,-
2010-03-22,Arakkonam,-
2010-03-22,Arcot,-
2010-03-22,Gudiyatham,-
2010-03-22,Melalathur,-
2010-03-22,Sholingur,-
2010-03-22,Tirupattur,-
2010-03-22,Vaniyambadi,-
2010-03-22,Vellore,-
2010-03-22,Wallajah,-
2010-03-23,Alangayam,-
2010-03-23,Ambur,-
2010-03-23,Arakkonam,-
2010-03-23,Arcot,-
2010-03-23,Gudiyatham,-
2010-03-23,Melalathur,-
2010-03-23,Sholingur,-
2010-03-23,Tirupattur,-
2010-03-23,Vaniyambadi,-
2010-03-23,Vellore,-
2010-03-23,Wallajah,-
2010-03-24,Alangayam,-
2010-03-24,Ambur,-
2010-03-24,Arakkonam,-
2010-03-24,Arcot,-
2010-03-24,Gudiyatham,-
2010-03-24,Melalathur,-
2010-03-24,Sholingur,-
